,seqnames,start,end,strand,name,idx,Log2FC,FDR,MeanDiff
15308,chr21,26953961,26954043,1,MIR4759,64,1.37882367650952,4.28285804455007e-24,0.314049790067779
22297,chr8,28490256,28345585,2,ZNF395,217,-0.852184448181349,5.2000205930688e-24,-0.339956104761221
15312,chr21,28228667,28116094,2,LINC01695,68,1.44755059581527,8.12213223791863e-24,0.183130003953627
24579,chrX,112780788,112780718,2,MIR4329,616,-0.823848522578274,9.73131853549871e-24,-0.497837644623432
13542,chr2,86106155,86020216,2,POLR1A,593,0.946586019262727,2.65406178013443e-23,0.351846012833903
22561,chr8,79871759,79769372,2,LOC101927040,481,-0.955737349833301,3.28744718276367e-23,-0.416195980446487
6216,chr12,130045057,130033454,2,LINC02418,1231,-1.36609705733674,6.01591219624781e-23,-0.207278028368524
2479,chr10,4384246,4410612,1,LINC00703,27,1.30580802005172,7.67464033662616e-23,0.188779968140708
14696,chr20,17968913,17991122,1,MGME1,167,-0.987835967698405,1.64419332954895e-22,-0.448395946981318
19261,chr5,140966235,141012344,1,PCDHAC2,768,1.30662660402739,1.99568109830602e-22,0.15823789244933
22158,chr8,11676959,11760002,1,GATA4,78,-1.25119267700867,5.22689760909647e-22,-0.303242067725775
13548,chr2,86338083,86213993,2,REEP1,599,1.0715677191893,6.79258429061793e-22,0.336701985283817
16088,chr22,48489460,48850912,1,FAM19A5,517,-1.35293770810693,9.00283636071818e-22,-0.233069959789194
24127,chrX,37349330,38688920,1,TSPAN7,164,-0.559266629936983,1.26388955093227e-21,-0.629403756071762
18656,chr5,37379212,37753435,1,WDR70,163,0.810356986159639,1.94041029760856e-21,0.415431909002631
13388,chr2,67397319,67410545,1,ETAA1,439,1.02705581098392,2.38803790117466e-21,0.341010111155878
5552,chr12,54189008,54121277,2,SMUG1,567,-0.626131535345316,2.65161896722068e-21,-0.372963940503925
13541,chr2,85889280,85890980,1,ST3GAL5-AS1,592,1.04895995259493,4.29507678039611e-21,0.61752963558031
13567,chr2,88812370,88812454,1,MIR4436A,618,1.39942452212218,5.73343918113752e-21,0.331287952670228
2481,chr10,4655427,4662419,1,LINC00705,29,1.29003576989006,6.18616308264757e-21,0.342311730644834
9041,chr16,49857919,49487524,2,ZNF423,556,-0.944479100554345,1.10683006972014e-20,-0.574949959640133
2526,chr10,11105504,11071541,2,CELF2-AS2,74,1.11177773723314,1.61916989437339e-20,0.164672018110177
18765,chr5,60522120,58969038,2,PDE4D,272,0.479016799197282,2.21635557341332e-20,1.19828038263274
13566,chr2,88691644,88750935,1,RPIA,617,1.03457471544808,3.61337106858121e-20,0.301953985365534
22853,chr8,140458579,139730343,2,TRAPPC9,773,-0.6313969460895,4.00917117312032e-20,-0.604231936671667
21072,chr7,18086949,19002416,1,HDAC9,128,0.642359263128926,5.31321470266997e-20,0.670472082359267
2823,chr10,67696169,65912518,2,CTNNA3,371,0.56612647027994,5.51164975824022e-20,0.788247332398182
22330,chr8,33513601,33473386,2,TTI2,250,-1.05628266894545,7.37098067978625e-20,-0.279963885415366
18265,chr4,140154184,139716753,2,MAML3,731,-0.611505480192867,8.31080859644785e-20,-0.603701963491979
18606,chr5,23443586,23528597,1,PRDM9,113,0.727222494373678,1.34328418693952e-19,0.323582029567001
13869,chr2,149587196,149848233,1,LOC101929231,920,0.771199146994101,1.66572418055464e-19,0.32131978738155
17672,chr4,10684865,10486395,2,CLNK,138,1.0508869979221,2.00162659426956e-19,0.305195891933398
13552,chr2,86623866,86510424,2,RNF103,603,0.874760563833694,2.30205773138417e-19,0.333017980316704
18582,chr5,13944543,13690331,2,DNAH5,89,0.699016446061595,2.52776479869331e-19,0.239643994871547
15459,chr21,40847139,40010999,2,DSCAM,215,0.927429325711666,3.36667482374284e-19,0.418697846137095
11115,chr18,44680173,45068510,1,SETBP1,203,0.888179662548118,3.38062346150057e-19,0.313083475107148
13540,chr2,85889014,85839144,2,ST3GAL5,591,1.01373129612735,4.30886116133607e-19,0.233165877625057
6681,chr13,96053482,95801580,2,UGGT2,422,-0.925315944282748,4.32881330141626e-19,-0.259625901644963
22181,chr8,15238339,14089864,2,SGCZ,101,-0.94039618977958,5.72316777637939e-19,-0.339462076509489
20387,chr6,62286227,61679960,2,KHDRBS2,732,0.851804615798293,1.02029274133527e-18,0.322401799885558
18767,chr5,60487713,60547657,1,PART1,274,1.26125844588224,1.28227628051352e-18,0.202854038903248
13519,chr2,84905625,84906675,1,TMSB10,570,0.879000781568286,1.87271572762502e-18,0.635666074940159
1948,chr1,190478551,190480735,1,LINC01351,1948,-1.34251186646674,1.91541993255406e-18,-0.534427971124813
18603,chr5,17684584,17955857,1,LINC02223,110,0.869431665981859,1.97577021324982e-18,0.254461951728013
2522,chr10,10462349,10418739,2,LOC101928322,70,1.16264684828398,2.00136898566125e-18,0.102787962562242
6679,chr13,95677139,95794989,1,DNAJC3,420,-0.968263999060738,2.12894174469206e-18,-0.258354149993847
9140,chr16,58462846,58513628,1,NDRG4,655,-0.90257811883395,2.49368877972711e-18,-0.255036035598654
8487,chr16,53628,46407,2,POLR3K,2,-1.20157162608494,3.26232438002418e-18,-0.302960058725334
24801,chrX,149540959,149498187,2,LINC00893,838,-0.590634926743036,4.41701853470428e-18,-0.407569732997303
10392,chr17,48590272,48548870,2,HOXB3,906,-0.644537753086586,5.09352656058615e-18,-0.514557739318154
16151,chr3,4979116,4985323,1,BHLHE40,19,-0.569732694775332,5.36559815843693e-18,-0.810878093811519
2523,chr10,10794980,10784437,2,SFTA1P,71,1.25533958347791,5.90655245250507e-18,0.217016006627614
16144,chr3,4467281,3781352,2,SUMF1,12,-0.556544874313865,5.90655245250507e-18,-0.384175893195717
3269,chr10,114684655,114431113,2,ABLIM1,817,0.738845413987036,8.42093198754538e-18,0.478314043766048
5542,chr12,53990624,54030823,1,HOXC6,557,-0.60076745988263,8.56474922724227e-18,-0.521276166611021
5540,chr12,53985845,54035361,1,HOXC5,555,-0.557222845770152,1.14937151393961e-17,-0.556012139177085
21229,chr7,40134977,40860763,1,SUGCT,285,0.694120953054905,1.14937151393961e-17,0.548531789916734
15413,chr21,36004667,34887046,2,LOC101928269,169,0.733682919788676,1.47490278627749e-17,0.846755806394261
13518,chr2,84907008,84821650,2,TRABD2A,569,0.913039857006515,1.61353667519124e-17,0.274402073010057
6585,chr13,71867192,71437966,2,DACH1,326,-0.523155615973021,1.76476302972199e-17,-0.912263225547798
20376,chr6,56954628,56457987,2,DST,721,0.455820860371348,1.78341648473093e-17,0.62524017424927
18605,chr5,22853622,21750673,2,CDH12,112,0.622875935049005,2.34925136390018e-17,0.713166017370871
16146,chr3,4303304,4317567,1,SETMAR,14,-0.887213606136653,2.48257920950644e-17,-0.224997919329518
13476,chr2,74455088,74460884,1,INO80B-WBP1,527,0.691586533338094,3.6545883370251e-17,0.738093709037992
13561,chr2,88170295,88186636,1,THNSL2,612,1.19093113991958,3.6545883370251e-17,0.205723964688211
2917,chr10,74151185,74709303,1,ADK,465,0.492410966270114,5.35180848112569e-17,0.500433728191251
2480,chr10,4678154,4650185,2,MANCR,28,1.16320742656497,5.54741200341363e-17,0.206607849867159
13477,chr2,74458329,74460891,1,WBP1,528,0.689037359755177,5.59420846263012e-17,0.920485662569147
16138,chr3,2098813,3057956,1,CNTN4,6,-0.652203849905919,5.59420846263012e-17,-0.454566086373642
8490,chr16,77007,85853,1,MPG,5,-1.36412659506228,6.2446509535266e-17,-0.200648036023108
22097,chr8,2045040,2165552,1,MYOM2,17,-1.16963664027841,7.09603475118692e-17,-0.159620023923025
22292,chr8,27992727,27869882,2,SCARA5,212,-0.92340700610024,7.52803100551321e-17,-0.224036051965291
22191,chr8,17497088,17570573,1,SLC7A2,111,-1.21627934814642,7.76193991934658e-17,-0.156680013895009
22320,chr8,30727926,30678061,2,GSR,240,-1.00301883466702,7.80194283040902e-17,-0.199916032198533
18397,chr4,169975902,169917761,2,LINC02275,863,-0.907144051413189,7.92341058828871e-17,-0.191719929524486
13475,chr2,74455023,74457960,1,INO80B,526,0.675656166747016,8.00633965036775e-17,0.848523724234622
19052,chr5,119268692,119399688,1,TNFAIP8,559,0.576445703820863,8.27568235956707e-17,0.435970246083729
13501,chr2,75710989,75652000,2,GCFC2,552,0.943931385908397,8.50074001529431e-17,0.228138117866697
18589,chr5,15500196,15939795,1,FBXL7,96,0.847378048038546,9.98228166480593e-17,0.340029958967565
4862,chr11,123195281,123069865,2,CLMP,1440,-0.783404396214811,1.02067227882731e-16,-0.256625984733455
13250,chr2,43596046,43230836,2,THADA,301,0.637944339708335,1.03555154256477e-16,0.425875987182785
4133,chr11,61816256,61867354,1,FADS2,711,-0.967616280334989,1.58415403733235e-16,-0.203125778044047
8491,chr16,138860,84271,2,NPRL3,6,-0.98629945128536,1.58415403733235e-16,-0.152272078682994
15260,chr21,13406460,13406384,2,MIR3156-3,16,1.72817144526376,1.96792725194275e-16,0.178116062282434
22859,chr8,141308305,141207166,2,SLC45A4,779,-0.903523634366774,2.25357123274262e-16,-0.274101949022018
13517,chr2,84516455,84819589,1,DNAH6,568,0.958791158525695,2.2917262519431e-16,0.308179717789852
4780,chr11,117828698,117801730,2,FXYD2,1358,-1.27579431534371,2.51906308527379e-16,-0.190169899288289
24518,chrX,103688158,103675496,2,MORF4L2,555,-0.712912917282099,2.8909613366687e-16,-0.454328126598821
1015,chr1,85580761,85583962,1,CYR61,1015,1.0076950897351,3.02091779700393e-16,0.87801805230357
15307,chr21,26966513,26917912,2,ADAMTS5,63,1.02971513832928,3.26504754562568e-16,0.151603880429221
15309,chr21,27722379,27751233,1,LINC00113,65,1.25087331167689,3.3275732939369e-16,0.10367396207765
903,chr1,63774022,64181498,1,ROR1,903,0.512249439414417,3.96057067291261e-16,0.588606158448864
18774,chr5,61332273,61546170,1,ZSWIM6,281,0.493914594475829,3.96312590369831e-16,0.411806161110033
6660,chr13,91351314,91351393,1,MIR92A1,401,-0.684412489381327,4.15092594863023e-16,-1.1234956618826
22128,chr8,8386498,8317736,2,PRAG1,48,-1.09644367697808,4.52837787187805e-16,-0.13113998292748
4134,chr11,61815240,61815161,2,MIR1908,712,-1.04044002691855,6.43585241649571e-16,-0.504113661689502
6742,chr13,106535114,106489731,2,EFNB2,483,-1.06224850757169,8.63017029565031e-16,-0.271429927337569
2483,chr10,5135226,4922564,2,AKR1C2,31,0.968970382618519,8.75912489366034e-16,0.196809981286952
2478,chr10,4243912,4201141,2,LINC00702,26,0.990457236719869,8.86341864099242e-16,0.141451960858748
15306,chr21,26845409,26835747,2,ADAMTS1,62,0.726784309005096,9.28354290970514e-16,0.529272374160914
22293,chr8,27886116,27886039,2,MIR4287,213,-1.03179548364826,1.11726723552593e-15,-0.24966201071347
19023,chr5,114360945,114496500,1,KCNN2,530,0.814768775118777,1.14481788330407e-15,0.255531915489641
2820,chr10,63521363,63625123,1,REEP3,368,0.585367982786032,1.16233116603817e-15,0.287346089568782
8488,chr16,53010,57669,1,SNRNP25,3,-1.21573283403177,1.16233116603817e-15,-0.31006206506865
24547,chrX,107628424,107651026,1,PRPS1,584,-0.574758808577327,1.27857373177624e-15,-0.395931993624492
4779,chr11,117817525,117427773,2,DSCAML1,1357,-0.591314904841572,1.41430217393257e-15,-0.297035882708237
18615,chr5,31193750,31329146,1,CDH6,122,0.754391117681939,1.54779597442444e-15,0.207413950236879
13521,chr2,85133410,85310388,1,TCF7L1,572,0.630353421230237,2.08497224389443e-15,0.366466081865629
6680,chr13,95676925,95672835,2,DNAJC3-DT,421,-0.922454010387515,2.09664251112385e-15,-0.413928318804934
24048,chrX,17737449,17754988,1,SCML1,85,-0.851199621899829,2.71204880795896e-15,-0.267978080054625
22598,chr8,87874068,87870743,2,DCAF4L2,518,-0.939113687412747,2.75099827249359e-15,-0.180317971083012
18588,chr5,15266541,15192139,2,LINC02149,95,0.914739220759917,2.81464106511997e-15,0.113272029294485
24519,chrX,103687284,103691772,1,MORF4L2-AS1,556,-0.739016104272065,2.81464106511997e-15,-0.599540209336881
15314,chr21,28885371,28872191,2,N6AMT1,70,1.00313074375308,3.54473477680799e-15,0.300504006678397
1316,chr1,144412576,144412740,1,RNVU1-15,1316,-1.02828870431487,3.62480419947358e-15,-0.759267984206788
22321,chr8,30732247,30767006,1,UBXN8,241,-1.09298873932149,3.65716670737172e-15,-0.190082125569407
13514,chr2,80304749,80288351,2,LRRTM1,565,0.843731766869874,3.71934520608053e-15,0.10924392567814
24663,chrX,129981163,130058083,1,BCORL1,700,-0.424342400916725,3.98476392032652e-15,-0.216816053954419
17708,chr4,20253260,20620561,1,SLIT2,174,0.472277744546734,4.25034587149588e-15,0.643467821560825
2521,chr10,10058722,10063502,1,LOC101928298,69,1.29857176377864,4.41236092905624e-15,0.171231959764081
22326,chr8,31639386,32767959,1,NRG1,246,-0.828097892666244,4.62242189999817e-15,-0.300285780316745
13390,chr2,68110948,68041130,2,C1D,441,0.856883985512831,5.09914540150009e-15,0.212574061783478
24745,chrX,136879271,136879199,2,SNORD61,782,-0.726342901000233,5.09914540150009e-15,-0.689199792027367
22157,chr8,11576313,11581342,1,LINC00208,77,-1.37170763064908,6.32386995706813e-15,-0.139698010990664
22100,chr8,4994972,2935353,2,CSMD1,20,-0.823639390410227,7.40644867150327e-15,-0.504567937936422
2313,chr1,232561558,232397965,2,SIPA1L2,2313,0.623480676528102,7.55017840559209e-15,0.353367960792738
21288,chr7,46759844,46687879,2,LOC730338,344,0.896882257116092,7.5765513546449e-15,0.0728059760042274
22728,chr8,113437099,112222928,2,CSMD3,648,-0.506491757569395,7.80351446099396e-15,-0.339769852730348
11014,chr18,14946267,14973739,1,LINC01443,102,1.5731348444446,7.95174479765555e-15,0.0714738926404246
18046,chr4,87531061,87473335,2,SPARCL1,512,1.16843080728274,1.09771947211248e-14,0.192054013402007
4180,chr11,62841809,62832911,2,WDR74,758,-0.556277151916137,1.17964134091939e-14,-0.60694185748727
13527,chr2,85539165,85545280,1,MAT2A,578,0.752039546507731,1.31381138461549e-14,0.621938304209725
22271,chr8,26045397,25841730,2,EBF2,191,-0.858196876684511,1.35505324491751e-14,-0.207797980188553
18766,chr5,59703708,59703597,2,MIR582,273,0.849209785076287,1.37354520320252e-14,0.399517903503808
8489,chr16,76355,58059,2,RHBDF1,4,-1.30641799769592,1.450857621565e-14,-0.185831965296266
4132,chr11,61829318,61799625,2,FADS1,710,-0.952278726120891,1.50721609633867e-14,-0.213987889239106
11982,chr19,28727777,28435388,2,LOC100420587,686,1.11145083323235,1.74937161389623e-14,0.13862999838908
22885,chr8,143039209,143059942,1,C8orf31,805,-1.00950358288795,1.78716314671127e-14,-0.171857981140646
4864,chr11,123454658,123627774,1,GRAMD1B,1442,-0.749570522312734,1.81577775019414e-14,-0.201731998067446
10391,chr17,48549630,48606414,1,HOXB-AS3,905,-0.499470868047304,1.87378419499797e-14,-0.551961824008413
6055,chr12,114684164,114670254,2,TBX3,1070,-0.589740930192112,1.99352237043377e-14,-0.416947933278875
1014,chr1,85578363,85318481,2,DDAH1,1014,0.637887111709324,2.29124033271181e-14,0.398895938739943
6787,chr13,112894378,113099739,1,MCF2L,528,-0.979444358513375,2.29124033271181e-14,-0.282918024360574
13495,chr2,74958492,74970128,1,POLE4,546,1.0145905080058,2.3521566425107e-14,0.258484059838179
11012,chr18,14728272,14852738,1,ANKRD30B,100,1.44181468770478,2.66226591325657e-14,0.0604079888538933
24747,chrX,137566142,137577691,1,ZIC3,784,-0.761858791110359,2.93839013100054e-14,-0.26548997915118
3005,chr10,88584530,88273864,2,RNLS,553,0.601853067815602,3.24558966352134e-14,0.343543999367937
6712,chr13,99997909,99994899,2,LINC00554,453,-0.903150141585479,3.60011217730805e-14,-0.364167874442385
13442,chr2,72826041,72175984,2,EXOC6B,493,0.518391626122137,4.11707100330705e-14,0.349554119088709
6218,chr12,130162459,130165740,1,FZD10,1233,-1.52299153778945,4.26386614697217e-14,-0.223638073171029
2812,chr10,62268707,62183035,2,RTKN2,360,0.77257971473371,4.36629345538779e-14,0.259191942852835
18586,chr5,14871778,14704804,2,ANKH,93,0.841500833807289,4.36629345538779e-14,0.311396140607635
16466,chr3,46834095,46829542,2,PRSS42,334,-1.15655194197856,4.50643231702523e-14,-0.123277994133262
24744,chrX,136880764,136848004,2,RBMX,781,-0.788704496564235,4.70506296527967e-14,-0.298845837575619
6785,chr13,112690329,112887168,1,ATP11A,526,-0.971375742152656,4.84478751207896e-14,-0.240455965019935
9385,chr16,84699978,84779922,1,USP10,900,-0.678319238789873,5.01295848799789e-14,-0.218421851855918
13543,chr2,86106182,86142157,1,PTCD3,594,0.792853263879204,5.79280598586761e-14,0.234052016620908
5219,chr12,14365632,14502935,1,ATF7IP,234,0.742287053157075,5.97586268472549e-14,0.254336123649681
5544,chr12,53994895,54003337,1,HOXC9,559,-0.685402144064147,6.45939469558905e-14,-0.364589845977434
21038,chr7,7640711,8004059,1,UMAD1,94,0.517461144744086,7.50201665668719e-14,0.437851986129361
16325,chr3,32818018,32897826,1,TRIM71,193,-0.735895303375207,7.76902329780898e-14,-0.266952156962594
21316,chr7,55019021,55256620,1,EGFR,372,0.517130200063909,7.76902329780898e-14,0.276560213633065
22799,chr8,126558393,126552442,2,FAM84B,719,-0.927906304596559,7.90049621236854e-14,-0.279289929810323
21458,chr7,84195445,83955777,2,SEMA3A,514,0.584699814103681,7.91302379405144e-14,0.294580041222358
13538,chr2,85783677,85783600,2,MIR6071,589,1.49818855389045,8.70644606956623e-14,0.252198037030359
24662,chrX,129906121,129929761,1,UTP14A,699,-0.466764673426791,8.79119293057608e-14,-0.223726052430739
22419,chr8,52565507,52534037,2,ALKAL1,339,-1.01320306456179,8.89958006646644e-14,-0.213346018032974
22762,chr8,122781394,122974512,1,ZHX2,682,-0.735948262563902,9.10181158904864e-14,-0.356356166709745
21287,chr7,45921874,45912245,2,IGFBP3,343,1.15902481794537,9.72791685932151e-14,0.202187976855043
16150,chr3,4979961,4896809,2,BHLHE40-AS1,18,-0.475820223437266,1.01189501821922e-13,-0.317718043208723
13332,chr2,58427799,59063766,1,LINC01122,383,0.449542824019735,1.01223537872251e-13,0.439422140190783
128,chr1,6785324,7769706,1,CAMTA1,128,0.398358526090603,1.07852267327693e-13,0.758907570397017
8451,chr15,97521811,97370371,2,LINC02254,783,0.791478187294102,1.15278256358924e-13,0.149735952149197
16089,chr22,48547387,48538900,2,LOC284933,518,-1.53940053626793,1.17735161271476e-13,-0.0915920182135961
8631,chr16,2720551,2712418,2,PRSS27,146,-1.0190921370843,1.30337714544388e-13,-0.229961932533713
20917,chr6,168081557,168055745,2,FRMD1,1262,-0.517673883524342,1.3796188807822e-13,-0.22729393982197
22152,chr8,11284416,11328146,1,MTMR9,72,-0.96115385739803,1.55394966570935e-13,-0.117864007672317
1356,chr1,148255012,148195959,2,LOC101927468,1356,-0.761749528098726,1.75213968223392e-13,-0.132609940627531
7029,chr14,36519521,36473207,2,SFTA3,211,-1.01280867711196,1.8784703637526e-13,-0.188324014195044
2829,chr10,68106117,68212017,1,MYPN,377,0.762566347585091,2.12241309491423e-13,0.230945970984709
22179,chr8,13604606,13083361,2,DLC1,99,-0.604598702479439,2.16789777656245e-13,-0.290919878012621
22692,chr8,102655902,102648779,2,KLF10,612,-0.636341378224703,2.19093613498873e-13,-0.571331914831029
2810,chr10,61662961,61766766,1,CABCOCO1,358,0.704502819731924,2.32616624974116e-13,0.239539979188438
22325,chr8,31033801,31173769,1,WRN,245,-0.960688527402769,2.37413171532472e-13,-0.196071967795969
21354,chr7,65373799,65401135,1,ZNF92,410,0.740352186151183,2.56067972755125e-13,0.277111977601339
24617,chrX,119646854,119646743,2,MIR766,654,-0.545429372765575,2.63813454074417e-13,-0.308917985145792
7777,chr15,26971282,27541991,1,GABRG3,109,1.0864268667366,2.8430989183521e-13,0.1922219564455
22823,chr8,130443660,130052104,2,ASAP1,743,-0.58115873589522,2.87957467660246e-13,-0.408953845144366
13563,chr2,88524651,88529584,1,TEX37,614,1.44435747189657,3.02010169820226e-13,0.202651990410922
14908,chr20,38435353,38420588,2,SNHG17,379,-1.10945159979957,3.02010169820226e-13,-0.240667996215043
24299,chrX,54530211,54561071,1,GNL3L,336,-0.746772636418665,3.14619708140496e-13,-0.159949795169251
991,chr1,81306160,81992436,1,ADGRL2,991,0.425688286072222,3.51996314306082e-13,0.563313735687818
490,chr1,28887091,29120046,1,EPB41,490,-0.512437497048915,3.81781980709662e-13,-0.353051976922043
15282,chr21,17901263,18267373,1,CHODL,38,0.748172047278228,3.81781980709662e-13,0.241858097539926
22240,chr8,23000000,22713251,2,PEBP4,160,-0.760940693395837,3.81781980709662e-13,-0.204404063748443
24345,chrX,68433913,68042344,2,OPHN1,382,-0.98877399028497,3.81781980709662e-13,-0.388309643203058
2885,chr10,72692131,72887694,1,MCU,433,0.727871069838169,3.83214129354946e-13,0.302541886065023
7474,chr14,99271524,99169287,2,BCL11B,656,-0.555716188920927,3.90136651530157e-13,-0.268136062694557
23975,chrX,3843857,3817528,2,LOC389906,12,-0.985803335658963,3.98554757280378e-13,-0.165311885709813
2932,chr10,77638595,76869601,2,KCNMA1,480,0.473429726513668,4.12184009752446e-13,0.438213853211274
7653,chr14,105300563,105398147,1,PACS2,835,-0.603637515059462,4.25974404482946e-13,-0.297270031691844
2778,chr10,50991358,52298350,1,PRKG1,326,0.395738603356486,4.36765137324256e-13,0.686687840415544
10393,chr17,48604992,48573982,2,HOXB6,907,-0.555866884168906,4.84734152172065e-13,-0.494031908190745
21501,chr7,92836594,92604921,2,CDK6,557,0.628924187138305,4.88098235477262e-13,0.376286170807737
19510,chr5,171309284,171312134,1,TLX3,1017,-0.957590837237979,5.12678750900858e-13,-0.392624020375027
2691,chr10,42475543,42495336,1,LINC00839,239,1.01234417938492,5.56700777538368e-13,0.179561855406983
8413,chr15,90388218,90502243,1,IQGAP1,745,0.596850140836334,5.56700777538368e-13,0.336492008297338
6136,chr12,122063306,122068616,1,LOC100506691,1151,-0.835666275864022,5.7985895340655e-13,-0.2879999040557
24424,chrX,77895593,77826364,2,MAGT1,461,-0.929455961953746,5.82672545450372e-13,-0.231897881846816
18256,chr4,139012646,138819954,2,LOC105377448,722,-0.581777882920496,6.22276567486136e-13,-0.300940018614768
13350,chr2,61905647,62136247,1,COMMD1,401,0.702477972013845,6.49985788070917e-13,0.284916018324424
